(Contains Methods) BST and Tree Set timer	running contains on a random item	Time in NanoSeconds it takes to run the Add method
Contains method Using Java's Tree Set	2516	301
Contains method Using Java's Tree Set	2786	301
Contains method Using Java's Tree Set	2804	300
Contains method Using Java's Tree Set	2824	301
Contains method Using Java's Tree Set	2839	300
Contains method Using Java's Tree Set	2849	300
Contains method Using Java's Tree Set	2925	301
Contains method Using Java's Tree Set	3104	300
Contains method Using Java's Tree Set	3220	301
Contains method Using Java's Tree Set	3304	300
Contains method Using Java's Tree Set	3316	301
Contains method Using Java's Tree Set	3355	300
Contains method Using Java's Tree Set	3422	300
Contains method Using Java's Tree Set	3443	601
Contains method Using Java's Tree Set	3479	601
Contains method Using Java's Tree Set	3515	301
Contains method Using Java's Tree Set	3588	300
Contains method Using Java's Tree Set	3594	301
Contains method Using Java's Tree Set	3751	301
Contains method Using Java's Tree Set	3796	301
Contains method Using Java's Tree Set	3953	300
Contains method Using Java's Tree Set	4292	601
Contains method Using Java's Tree Set	4565	601
Contains method Using Java's Tree Set	4566	301
Contains method Using Java's Tree Set	4656	301
Contains method Using Java's Tree Set	4750	300
Contains method Using Java's Tree Set	5063	300
Contains method Using Java's Tree Set	5307	300
Contains method Using Java's Tree Set	5446	300
Contains method Using Java's Tree Set	5807	301
Contains method Using Java's Tree Set	6035	301
Contains method Using Java's Tree Set	6218	300
Contains method Using Java's Tree Set	6252	301
Contains method Using Java's Tree Set	6467	300
Contains method Using Java's Tree Set	6523	601
Contains method Using Java's Tree Set	6669	300
Contains method Using Java's Tree Set	6707	300
Contains method Using Java's Tree Set	6740	300
Contains method Using Java's Tree Set	6803	301
Contains method Using Java's Tree Set	6875	601
Contains method Using Java's Tree Set	6917	300
Contains method Using Java's Tree Set	6929	301
Contains method Using Java's Tree Set	7190	301
Contains method Using Java's Tree Set	7235	301
Contains method Using Java's Tree Set	7308	300
Contains method Using Java's Tree Set	7364	300
Contains method Using Java's Tree Set	7414	300
Contains method Using Java's Tree Set	7417	300
Contains method Using Java's Tree Set	7646	301
Contains method Using Java's Tree Set	7879	301
Contains method Using Java's Tree Set	7930	301
Contains method Using Java's Tree Set	7973	301
Contains method Using Java's Tree Set	8242	301
Contains method Using Java's Tree Set	8327	300
Contains method Using Java's Tree Set	8355	301
Contains method Using Java's Tree Set	8415	0
Contains method Using Java's Tree Set	8554	301
Contains method Using Java's Tree Set	8602	301
Contains method Using Java's Tree Set	8737	300
Contains method Using Java's Tree Set	8829	301
Contains method Using Java's Tree Set	8877	0
Contains method Using Java's Tree Set	8879	300
Contains method Using Java's Tree Set	8941	300
Contains method Using Java's Tree Set	8960	301
Contains method Using Java's Tree Set	9036	300
Contains method Using Java's Tree Set	9076	300
Contains method Using Java's Tree Set	9271	301
Contains method Using Java's Tree Set	9476	301
Contains method Using Java's Tree Set	9478	301
Contains method Using Java's Tree Set	9515	300
Contains method Using Java's Tree Set	9810	300
Contains method Using Java's Tree Set	9855	301
Contains method Using Java's Tree Set	9894	301
